상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율
MA010120220802979113,높은산,카페,4.6,-0.2,14.29,0,660,서울특별시 성동구 성수이로 18-1,성수2가제1동,37.536841,127.054139,100.0
MA010120220805311983,발렁스,카페,4.5,-0.31,13.89,0,2358,서울특별시 성동구 성수일로4길 49,성수2가제1동,37.542525,127.053966,97.2
MA010120220814241305,매튜 Matthew,서양식,4.5,0.4,0.0,0,301,서울특별시 성동구 뚝섬로15길 31,성수2가제1동,37.539184,127.061977,95.2
MA010120220806797541,당도,카페,4.5,0.45,16.39,0,1770,서울특별시 성동구 왕십리로 80,성수1가제1동,37.544455,127.045755,96.9
MA010120220814052288,성수 수집,일식,4.5,0.82,5.0,0,375,서울특별시 성동구 성수일로1길 10,성수1가제1동,37.541887,127.047566,95.0
MA010120220812850710,오스테리아 파로,서양식,4.5,0.15,11.01,0,453,서울특별시 성동구 서울숲6길 20,성수1가제2동,37.54733,127.043705,98.2
MA010120220806483694,다로베,서양식,4.4,-0.36,4.76,0,7969,서울특별시 성동구 왕십리로11길 7,성수1가제2동,37.548522,127.043391,95.7
MA010120220813636144,마하차이 성수본점,동남아시아,4.4,-0.09,9.38,0,3560,서울특별시 성동구 뚝섬로 399,성수2가제1동,37.538949,127.055085,93.8
MA010120220810370526,FINZ 핀즈,카페,4.4,-0.75,0.0,0,968,서울특별시 성동구 성수일로3길 4-13,성수1가제1동,37.542434,127.048238,100.0
MA010120220806592911,유어네이키드치즈,서양식,4.4,-0.26,4.44,0,870,서울특별시 성동구 왕십리로10길 6,성수1가제2동,37.546683,127.04531,95.7
MA010120220800784704,조개도,주점,4.4,-0.26,14.29,0,444,서울특별시 성동구 성덕정17길 8-1,성수2가제1동,37.53804,127.055354,100.0
MA010120220813478156,청주한씨,주점,4.4,-0.62,33.33,0,276,서울특별시 성동구 연무장길 41-22,성수2가제3동,37.543312,127.054218,100.0
MA010120220812553079,유스트레스,카페,4.4,0.44,8.45,0,121,서울특별시 성동구 연무장7가길 9,성수2가제3동,37.543026,127.055482,100.0
MA010120220811676719,도렐 성수점,카페,4.3,0.19,8.33,0,940,서울특별시 성동구 연무장7길 11,성수2가제3동,37.54379,127.054417,98.4
MA010120220802847676,잇샐러드 성수점,카페,4.3,0.3,58.06,0,976,서울특별시 성동구 성수일로8길 28,성수2가제3동,37.545848,127.05355,98.7
MA010120220813181306,성수부두,한식,4.3,-0.34,9.76,0,569,서울특별시 성동구 연무장길 41-26,성수2가제3동,37.54342,127.054273,100.0
MA010120220805900684,소랑호젠,서양식,4.3,0.0,0.0,0,1091,서울특별시 성동구 왕십리로 58,성수1가제1동,37.542695,127.045205,100.0
MA010120220806566931,페이퍼 플레이트,서양식,4.3,-0.14,16.09,0,233,서울특별시 성동구 성수이로14길 15,성수2가제1동,37.541762,127.056696,100.0
MA010120220806390705,베티버 성수,카페,4.3,-0.18,21.54,0,178,서울특별시 성동구 성덕정11길 18,성수2가제1동,37.538921,127.053194,96.9
MA010120220807721711,성수온실,한식,4.3,-0.5,5.71,0,298,서울특별시 성동구 왕십리로4길 26-14,성수1가제2동,37.546829,127.046845,94.2
MA010120220807052670,스트로베리32,카페,4.3,0.0,0.0,0,236,서울특별시 성동구 왕십리로10길 9-31,성수1가제2동,37.546835,127.046306,0.0
MA010120220803238646,정돈 성수점,일식,4.3,-0.39,16.0,0,125,서울특별시 성동구 왕십리로 83-21,성수1가제1동,37.543871,127.044147,98.2
MA0101202212A0062918,소인수서울 본점,한식,4.3,-0.37,17.5,0,114,서울특별시 성동구 왕십리로 136,성수1가제2동,37.54969,127.044561,100.0
MA010120220808540486,미아논나,카페,4.2,-0.38,8.16,0,1861,서울특별시 성동구 연무장5길 9-16,성수2가제3동,37.54444,127.05266,96.2
MA010120220803282988,피키니키 라자냐,서양식,4.2,0.08,4.65,0,728,서울특별시 성동구 서울숲2길 14,성수1가제2동,37.547196,127.040066,97.6
MA010120220811763793,단일서울,카페,4.2,0.22,27.59,0,153,서울특별시 성동구 왕십리로 66-33,성수1가제1동,37.543026,127.045498,100.0
MA010120220811918808,코치,일식,4.2,-0.56,7.14,0,166,서울특별시 성동구 성덕정17길 11,성수2가제1동,37.538251,127.055149,92.9
MA010120220805415612,일구공 성수 본점,패스트푸드,4.2,-0.43,12.12,0,298,서울특별시 성동구 서울숲길 37,성수1가제2동,37.54812,127.041695,88.2
MA010120220805001002,한냄비,한식,4.2,0.08,14.29,0,387,서울특별시 성동구 왕십리로 66-26,성수1가제1동,37.543043,127.045024,100.0
MA010120220813229902,호감도,일식,4.2,-0.18,11.11,0,297,서울특별시 성동구 뚝섬로9길 13-1,성수2가제1동,37.539483,127.056395,88.9
MA010120220803053016,그라데이션커피,카페,4.2,-0.33,33.33,0,35,서울특별시 성동구 상원12길 24-1,성수1가제2동,37.550547,127.050295,100.0
MA010120220814345649,패티앤베지스 성수,패스트푸드,4.2,0.14,4.65,0,26,서울특별시 성동구 왕십리로 83-21,성수1가제1동,37.543871,127.044147,100.0
MA010120220810057396,맛차차,카페,4.1,-0.5,50.0,0,3350,서울특별시 성동구 서울숲2길 18-11,성수1가제2동,37.54684,127.040573,100.0
MA010120220810173823,소소하게,카페,4.1,1.0,0.0,0,2173,서울특별시 성동구 성덕정길 27,성수1가제1동,37.539361,127.046888,100.0
MA010120220806968029,앤드밀 성수점,카페,4.1,0.2,12.83,0,1248,서울특별시 성동구 연무장3길 5-1,성수2가제3동,37.544227,127.051359,93.8
MA010120220806473505,성수베이킹스튜디오,카페,4.1,0.0,0.0,0,1230,서울특별시 성동구 서울숲2길 46,성수1가제2동,37.546213,127.043757,100.0
MA010120220804963815,뺑드에코,카페,4.1,0.0,0.0,0,1171,서울특별시 성동구 연무장길 44,성수2가제1동,37.542728,127.054077,0.0
MA010120220804946727,위키드와이프,주점,4.1,-0.57,56.0,0,613,서울특별시 성동구 성수일로 1,성수1가제1동,37.540866,127.047852,100.0
MA010120220810033257,투그,서양식,4.1,0.77,0.0,0,317,서울특별시 성동구 성수이로14길 5,성수2가제1동,37.54109,127.056321,100.0
MA010120220813508100,오스테리아쟌니,서양식,4.1,0.0,0.0,0,826,서울특별시 성동구 연무장길 109,성수2가제3동,37.54077,127.061238,0.0
MA010120220805310816,이월로스터스 성수점,카페,4.1,-0.22,11.11,0,271,서울특별시 성동구 서울숲2길 46,성수1가제2동,37.546213,127.043757,100.0
MA010120220807766997,메종 파이프그라운드,카페,4.1,-0.2,9.66,0,407,서울특별시 성동구 왕십리로 83-21,성수1가제1동,37.543871,127.044147,97.1
MA010120220805652148,티룸,카페,4.1,-0.34,5.26,0,90,서울특별시 성동구 서울숲길 52,성수1가제2동,37.547859,127.043239,89.5
MA010120220803439620,라무라 성수,일식,4.1,-0.14,10.19,0,59,서울특별시 성동구 성수이로12길 8,성수2가제1동,37.539823,127.055999,100.0
MA010120220800996321,다포케 성수점,서양식,4.1,0.44,19.4,0,329,서울특별시 성동구 연무장길 41,성수2가제3동,37.543005,127.053898,93.8
